ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
468010773/tests/integration/stack_reference_secrets/nodejs/step1/Pulumi.yaml,468010773,468010773/tests/integration/stack_reference_secrets/nodejs/step1,Pulumi,typescript,stack_reference_secrets,A program that uses a stack reference with secret outputs,nodejs,,,0,0,0,
468010773/tests/integration/targets/delete_targets_many_deps/Pulumi.yaml,468010773,468010773/tests/integration/targets/delete_targets_many_deps,Pulumi,typescript,delete_targets_many_deps,,nodejs,,,0,0,0,
468010773/tests/integration/targets/untargeted_create/Pulumi.yaml,468010773,468010773/tests/integration/targets/untargeted_create,Pulumi,typescript,untargeted_create,description,nodejs,,,0,0,0,
468010773/tests/integration/config_secrets_warn/dotnet/Pulumi.yaml,468010773,468010773/tests/integration/config_secrets_warn/dotnet,Pulumi,csharp,config_secrets_dotnet,A simple .NET program that uses configuration secrets.,dotnet,,,0,0,0,
468010773/tests/integration/config_secrets_warn/python/Pulumi.yaml,468010773,468010773/tests/integration/config_secrets_warn/python,Pulumi,python,config_secrets_python,A simple Python program that uses configuration secrets.,python,,,0,0,0,
468010773/tests/integration/config_secrets_warn/go/Pulumi.yaml,468010773,468010773/tests/integration/config_secrets_warn/go,Pulumi,go,config_secrets_go,A simple Go program that uses configuration secrets.,go,,,0,0,0,
468010773/tests/integration/config_secrets_warn/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/config_secrets_warn/nodejs,Pulumi,typescript,config_secrets_node,A simple Node.js program that uses configuration secrets.,nodejs,,,0,0,0,
468010773/tests/integration/construct_component_error_apply/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_error_apply/nodejs,Pulumi,typescript,construct_component_nodejs_error_apply,A program that constructs remote component resources.,nodejs,,,0,0,0,
468010773/tests/integration/stack_reference_multi/python/exporter/Pulumi.yaml,468010773,468010773/tests/integration/stack_reference_multi/python/exporter,Pulumi,python,exporter,A minimal Python Pulumi program,python,,,0,0,0,
468010773/tests/integration/stack_reference_multi/python/importer/Pulumi.yaml,468010773,468010773/tests/integration/stack_reference_multi/python/importer,Pulumi,python,importer,A minimal Python Pulumi program,python,,,0,0,0,
468010773/tests/integration/types/python/simple/Pulumi.yaml,468010773,468010773/tests/integration/types/python/simple,Pulumi,python,types_python,A program that uses input/output types.,python,,,0,0,0,
468010773/tests/integration/types/python/declared/Pulumi.yaml,468010773,468010773/tests/integration/types/python/declared,Pulumi,python,types_python,A program that uses input/output types with explicitly declared properties.,python,,,0,0,0,
468010773/tests/integration/about/dotnet/Pulumi.yaml,468010773,468010773/tests/integration/about/dotnet,Pulumi,csharp,about-csharp,An integration test for the pulumi about command,dotnet,,,0,0,0,
468010773/tests/integration/about/python/Pulumi.yaml,468010773,468010773/tests/integration/about/python,Pulumi,python,about-python,An integration test for the about command,python,,,0,0,0,
468010773/tests/integration/about/go/Pulumi.yaml,468010773,468010773/tests/integration/about/go,Pulumi,go,about-go,An integration test for the about command,go,,,0,0,0,
